protein_id	protein_name	genome_name	genome_id	length
ADT64008.1--GCA_000893335.1	QueF	Streptococcus phage Dp-1	GCA_000893335.1	173
ADT64009.1--GCA_000893335.1	QueC	Streptococcus phage Dp-1	GCA_000893335.1	228
ADT64010.1--GCA_000893335.1	QueD	Streptococcus phage Dp-1	GCA_000893335.1	173
ADT64011.1--GCA_000893335.1	QueE	Streptococcus phage Dp-1	GCA_000893335.1	264
ADT64012.1--GCA_000893335.1	FolE	Streptococcus phage Dp-1	GCA_000893335.1	253
ADT64013.1--GCA_000893335.1	QueT	Streptococcus phage Dp-1	GCA_000893335.1	165
ADT64014.1--GCA_000893335.1	queuosine tRNA-ribosyltransferase	Streptococcus phage Dp-1	GCA_000893335.1	311
ADT64015.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	57
ADT64016.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	79
ADT64017.1--GCA_000893335.1	DnaN	Streptococcus phage Dp-1	GCA_000893335.1	357
ADT64018.1--GCA_000893335.1	RecB	Streptococcus phage Dp-1	GCA_000893335.1	258
ADT64019.1--GCA_000893335.1	RecU	Streptococcus phage Dp-1	GCA_000893335.1	163
ADT64020.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	189
ADT64021.1--GCA_000893335.1	dUTPase	Streptococcus phage Dp-1	GCA_000893335.1	163
ADT64022.1--GCA_000893335.1	RecA	Streptococcus phage Dp-1	GCA_000893335.1	386
ADT64023.1--GCA_000893335.1	NAD-dependent DNA ligase	Streptococcus phage Dp-1	GCA_000893335.1	137
ADT64024.1--GCA_000893335.1	DnaX DNA polymerase III clamp loader complex gamma-tau-delta subunit	Streptococcus phage Dp-1	GCA_000893335.1	341
ADT64025.1--GCA_000893335.1	DNA polymerase III gamma-tau subunit	Streptococcus phage Dp-1	GCA_000893335.1	279
ADT64026.1--GCA_000893335.1	HolA DNA polymerase III subunit delta	Streptococcus phage Dp-1	GCA_000893335.1	297
ADT64027.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	47
ADT64028.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	414
ADT64029.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	125
ADT64030.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	94
ADT64031.1--GCA_000893335.1	RNA polymerase sigma 28 subunit	Streptococcus phage Dp-1	GCA_000893335.1	131
ADT64032.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	139
ADT64033.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	103
ADT64034.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	133
ADT64035.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	159
ADT64036.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	64
ADT64037.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	59
ADT64038.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	250
ADT64039.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	123
ADT64040.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	122
ADT64041.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	190
ADT64042.1--GCA_000893335.1	RNA 2'-phosphotransferase	Streptococcus phage Dp-1	GCA_000893335.1	105
ADT64043.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	246
ADT64044.1--GCA_000893335.1	terminase large subunit	Streptococcus phage Dp-1	GCA_000893335.1	463
ADT64045.1--GCA_000893335.1	portal protein	Streptococcus phage Dp-1	GCA_000893335.1	586
ADT64046.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	145
ADT64047.1--GCA_000893335.1	minor structural protein	Streptococcus phage Dp-1	GCA_000893335.1	331
ADT64048.1--GCA_000893335.1	minor capsid protein	Streptococcus phage Dp-1	GCA_000893335.1	222
ADT64049.1--GCA_000893335.1	structural protein	Streptococcus phage Dp-1	GCA_000893335.1	125
ADT64050.1--GCA_000893335.1	major capsid protein	Streptococcus phage Dp-1	GCA_000893335.1	359
ADT64051.1--GCA_000893335.1	hypothetical lipoprotein	Streptococcus phage Dp-1	GCA_000893335.1	113
ADT64052.1--GCA_000893335.1	structural protein	Streptococcus phage Dp-1	GCA_000893335.1	105
ADT64053.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	129
ADT64054.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	117
ADT64055.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	125
ADT64056.1--GCA_000893335.1	structural protein	Streptococcus phage Dp-1	GCA_000893335.1	259
ADT64057.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	151
ADT64058.1--GCA_000893335.1	hypothetical protein	Streptococcus phage Dp-1	GCA_000893335.1	64
ADT64059.1--GCA_000893335.1	TMP	Streptococcus phage Dp-1	GCA_000893335.1	1149
ADT64060.1--GCA_000893335.1	putative tail protein	Streptococcus phage Dp-1	GCA_000893335.1	279
ADT64061.1--GCA_000893335.1	antireceptor	Streptococcus phage Dp-1	GCA_000893335.1	1230
ADT64062.1--GCA_000893335.1	minor structural protein	Streptococcus phage Dp-1	GCA_000893335.1	679
